SIGLA,FAMILY,SPECIES,Dispersal syndrome,Growth form,RS1,RS2,inertia,OMI,Tol,Rtol,omi,tol,rtol,DL,AREA,EN,VUL
aaa9,Arecaceae,Astrocaryum aculeatissimum (Schott) Burret,Zoochory,Semi-woody,-0.51451,0.23656,0.74376718,0.080849266,0.347265209,0.315652705,10.9,46.7,42.4,41.4047619,104063.0901,0,1.739418836
aac10,Aristolochiaceae,Aristolochia cymbifera Mart. & Zucc.,Anemochory,Climber,-1.03443,-0.12244,0.588262081,0.28955239,0.136864486,0.161845205,49.2,23.3,27.5,69.68345324,308255.1813,0,2.007287759
aac5,Araceae,Anthurium coriaceum G. Don,Zoochory,Epiphyte,-0.13839,-0.61677,0.548800227,0.07237753,0.181562711,0.294859986,13.2,33.1,53.7,14.64516129,47504.77429,0,1.781549903
aag108,Apocynaceae,Aspidosperma gomezianum A.DC.,Anemochory,Woody,-0.46107,-1.84363,1.436887195,0.657762754,0.623370709,0.155753734,45.8,43.4,10.8,1.4,4059.756033,1,2.382887212
aah6,Araceae,Anthurium harrisii (Graham) G.Don,Zoochory,Epiphyte,-0.63675,-0.70581,0.575212052,0.196762146,0.166146211,0.212303695,34.2,28.9,36.9,5.333333333,5564.181224,0,2.045099194
aai115,Asteraceae,Austroeupatorium inulaefolium (Kunth) R.M.King & H.Rob.,Anemochory,Woody,-1.08143,1.00439,1.910823904,0.491833336,0.744261774,0.674728794,25.7,38.9,35.3,203.1167883,913326.3001,0,1.152367614
aam111,Araceae,Anthurium microphyllum (Raf.) G.Don,Zoochory,Epiphyte,-0.57223,-0.73705,0.21711189,0.183817071,0.009318084,0.023976735,84.7,4.3,11,4,835.0113118,1,3.195917959
aap109,Apocynaceae,Aspidosperma pyricollum Mll.Arg.,Anemochory,Woody,-0.79435,-0.77195,1.686848205,0.27451542,0.350842051,1.061490735,16.3,20.8,62.9,52.54205607,231049.6727,0,NA
aap7,Araceae,Anthurium parasiticum (Vell.) Stellfeld,Zoochory,Epiphyte,-0.14894,-1.20144,0.679160916,0.261084349,0.258528038,0.159548528,38.4,38.1,23.5,33.21212121,86209.34181,0,1.908349208
aar114,Aristolochiaceae,Aristolochia raja Mart.,Anemochory,Climber,-0.57921,-1.09207,0.311721095,0.300748434,0.006677443,0.004295217,96.5,2.1,1.4,3,6801.810729,0,1.614941324
aas112,Araceae,Anthurium solitarium Schott,Zoochory,Epiphyte,-0.212,-0.67158,0.645951363,0.091771647,0.273969727,0.280209989,14.2,42.4,43.4,37.76,156642.5939,0,1.263084019
abb117,Asteraceae,Barrosoa betonicaeformis (DC.) R.M.King & H.Rob.,Anemochory,Herbaceous,-1.79435,1.04771,1.683854605,1.057294031,0.372784225,0.253776349,62.8,22.1,15.1,70.57664234,350892.3847,0,1.812403468
abs116,Asteraceae,Baccharis serrulata (Lam.) Pers.,Anemochory,Herbaceous,-0.50021,-0.39684,0.902379543,0.094918836,0.152637029,0.654823678,10.5,16.9,72.6,128.7298387,325892.3698,0,1.343548771
aca106,Amaranthaceae,Chamissoa altissima (Jacq.) Kunth,Zoochory,Climber,0.4055,0.89685,2.440385108,0.186250629,1.081011439,1.17312304,7.6,44.3,48.1,579.3039384,1608469.921,0,1.215964784
acb1,Achariaceae,Carpotroche brasiliensis (Raddi) A. Gray,Zoochory,Woody,0.52899,-0.80916,0.815360508,0.190794931,0.233019663,0.391545914,23.4,28.6,48,76.27388535,193810.9574,0,1.329954353
adg2,Apocynaceae,Ditassa grandiflora E.Fourn.,Anemochory,Climber,-0.21534,-1.77719,0.847668416,0.570680254,0.271317895,0.005670267,67.3,32,0.7,3.428571429,7582.027028,0,1.929185896
alp118,Asteraceae,Lepidaploa persicifolia (Desf.) H.Rob.,Anemochory,Climber,-0.63826,-0.2558,0.293635596,0.120786457,0.048191243,0.124657896,41.1,16.4,42.5,5.2,2496.245035,0,2.209260554
amc110,Apocynaceae,Mandevilla crassinoda (Gardner) Woodson,Anemochory,Lithophyte,-0.50689,-0.55847,0.19504064,0.124016697,0.023608225,0.047415719,63.6,12.1,24.3,2.5,5100.57417,1,2.285236933
aml3,Apocynaceae,Marsdenia loniceroides (Hook.) E.Fourn.,Anemochory,Climber,-0.07026,-1.51173,0.724110653,0.405262582,0.253620328,0.065227742,56,35,9,10.13636364,19395.24747,0,1.320580937
aob4,Apocynaceae,Oxypetalum banksii R.Br. ex Schult.,Anemochory,Climber,-0.3714,-0.35022,0.886058611,0.058661213,0.264058638,0.56333876,6.6,29.8,63.6,140.6964286,300847.6819,0,1.857393674
apb119,Asteraceae,Piptocarpha brasiliana Cass.,Anemochory,Climber,-0.92122,-0.92213,0.632681565,0.377846093,0.050520117,0.204315356,59.7,8,32.3,5.7,7742.648541,0,1.444482761
apc8,Araceae,Philodendron corcovadense Kunth,Zoochory,Climber,-0.84935,0.40238,0.902929488,0.222021677,0.301767797,0.379140014,24.6,33.4,42,16.16129032,34820.49993,0,1.794913442
apm11,Asteraceae,Piptocarpha macropoda (DC.) Baker,Anemochory,Woody,-0.99866,0.55125,0.896481984,0.321095102,0.406897054,0.168489829,35.8,45.4,18.8,96.90954774,360148.9639,0,1.456982331
asr113,Arecaceae,Syagrus romanzoffiana (Cham.) Glassman,Zoochory,Semi-woody,-1.7412,0.32932,1.323150537,0.832092081,0.315640016,0.175418439,62.9,23.9,13.3,161.048048,760310.0191,0,1.377029096
ast107,Anacardiaceae,Schinus terebinthifolius Raddi,Zoochory,Woody,-1.15979,0.36453,1.448059513,0.384133857,0.816066683,0.247858973,26.5,56.4,17.1,453.1256713,858563.8899,0,1.402822546
bac121,Bignoniaceae,Anemopaegma chamberlaynii (Sims) Bureau & K.Schum.,Anemochory,Climber,-0.81173,-0.32948,1.011679553,0.195854854,0.392066072,0.423758627,19.4,38.8,41.9,149.8371336,714119.9825,0,1.369253581
bac13,Bignoniaceae,Adenocalymma comosum (Cham.) DC.,Anemochory,Climber,-0.06224,-0.35035,0.999657121,0.022737874,0.544558626,0.432360622,2.3,54.5,43.3,45.71428571,219737.8325,0,1.383938999
baf18,Bromeliaceae,Aechmea floribunda Mart. ex.Schult & Schult. F.,Zoochory,Herbaceous,-0.42241,-1.24752,0.676138132,0.322920943,0.19980342,0.153413769,47.8,29.6,22.7,4.555555556,9983.636536,0,2.735298944
bag124,Bromeliaceae,Alcantarea geniculata (Wawra) J.R. Grant,Anemochory,Lithophyte,-0.70651,0.16686,0.503165097,0.138740649,0.0379199,0.326504549,27.6,7.5,64.9,4.285714286,7968.188618,1,1.588033025
bag125,Bromeliaceae,Alcantarea glaziouana (Leme) J.R.Grant,Anemochory,Lithophyte,-0.61923,-0.99086,0.28427193,0.276348725,0.002370908,0.005552296,97.2,0.8,2,6.181818182,315.0360528,1,3.762776522
bam14,Bignoniaceae,Adenocalymma marginatum (Cham.) DC.,Anemochory,Climber,-1.28159,-0.60769,1.544758792,0.505680884,0.184378194,0.854699714,32.7,11.9,55.3,108.5682819,463783.0128,0,1.613435704
bar126,Bromeliaceae,Alcantarea regina (Vell.) Harms,Anemochory,Lithophyte,-0.26856,0.46593,0.172077303,0.057686839,0.043865801,0.070524663,33.5,25.5,41,2.4,984.2121751,0,3.369913351
bbh120,Begoniaceae,Begonia hirtella Link,Anemochory,Herbaceous,0.08213,0.45704,1.500553084,0.038719701,0.69066912,0.771164264,2.6,46,51.4,73.39716312,338879.1388,1,1.405444004
bbi19,Bromeliaceae,Billbergia iridifolia (Nees & Mart.) Lindl.,Zoochory,Epiphyte,0.27292,-1.61871,0.802139148,0.483112693,0.166253811,0.152772644,60.2,20.7,19,30.89705882,123630.551,0,1.660985959
bbm12,Begoniaceae,Begonia maculata Raddi,Anemochory,Herbaceous,-1.13926,0.19602,0.620910364,0.354785542,0.135835911,0.130288911,57.1,21.9,21,10.83333333,45579.57123,1,2.003078495
bbp20,Bromeliaceae,Billbergia pyramidalis (Sims.) Lindl.,Zoochory,Epiphyte,-0.73694,0.03119,0.851786879,0.145771728,0.175968546,0.530046605,17.1,20.7,62.2,18.91891892,55695.058,0,2.123610039
bca127,Bromeliaceae,Cryptanthus acaulis (Lindl.) Beer,Zoochory,Herbaceous,-0.41467,-2.30573,1.112044453,0.985758337,0.105504028,0.020782088,88.6,9.5,1.9,3.714285714,658.7200346,0,3.454604705
